team,player,track,score
Mi,Tectrox,Big Nature City,2
Mi,Tectrox,Castle of Time,15
Mi,Tectrox,Halogen Highway,8
Mi,Tectrox,Mansion of Madness,15
Mi,abell,Medieval Castlegrounds,6
Mi,abell,Bowser's Termination Station,6
Mi,abell,Bluster Blob Bluff,6
Mi,abell,Frantic Funyard,3
Mi,abell,Big Express City,12
Mi,abell,DS Rainbow Road,2
Mi,abell,Fishdom Island,12
Mi,abell,Bowser Jr.'s Fort,15
Mi,abell,Big Nature City,6
Mi,abell,Castle of Time,4
Mi,abell,Halogen Highway,6
Mi,abell,Mansion of Madness,4
Mi,miiwii (bag),Medieval Castlegrounds,1
Mi,miiwii (bag),Bowser's Termination Station,0
Mi,miiwii (bag),Bluster Blob Bluff,1
Mi,miiwii (bag),Frantic Funyard,0
Mi,miiwii (bag),Big Express City,0
Mi,miiwii (bag),DS Rainbow Road,0
Mi,miiwii (bag),Fishdom Island,0
Mi,miiwii (bag),Bowser Jr.'s Fort,1
Mi,miiwii (bag),Big Nature City,1
Mi,miiwii (bag),Castle of Time,0
Mi,miiwii (bag),Halogen Highway,1
Mi,miiwii (bag),Mansion of Madness,0
Albatross,swig,Medieval Castlegrounds,10
Albatross,swig,Bowser's Termination Station,3
Albatross,swig,Bluster Blob Bluff,4
Albatross,swig,Frantic Funyard,12
Albatross,swig,Big Express City,6
Albatross,swig,DS Rainbow Road,15
Albatross,swig,Fishdom Island,15
Albatross,swig,Bowser Jr.'s Fort,12
Albatross,swig,Big Nature City,3
Albatross,swig,Castle of Time,6
Albatross,swig,Halogen Highway,12
Albatross,swig,Mansion of Madness,8
Albatross,volumes,Medieval Castlegrounds,12
Albatross,volumes,Bowser's Termination Station,15
Albatross,volumes,Bluster Blob Bluff,15
Albatross,volumes,Frantic Funyard,6
Albatross,volumes,Big Express City,8
Albatross,volumes,DS Rainbow Road,3
Albatross,volumes,Fishdom Island,2
Albatross,volumes,Bowser Jr.'s Fort,4
Albatross,volumes,Big Nature City,15
Albatross,volumes,Castle of Time,8
Albatross,volumes,Halogen Highway,4
Albatross,volumes,Mansion of Madness,6
Albatross,fan,Medieval Castlegrounds,8
Albatross,fan,Bowser's Termination Station,8
Albatross,fan,Bluster Blob Bluff,2
Albatross,fan,Frantic Funyard,8
Albatross,fan,Big Express City,15
Albatross,fan,DS Rainbow Road,10
Albatross,fan,Fishdom Island,4
Albatross,fan,Bowser Jr.'s Fort,2
Albatross,fan,Big Nature City,8
Albatross,fan,Castle of Time,2
Albatross,fan,Halogen Highway,3
Albatross,fan,Mansion of Madness,3
Albatross,dr,Medieval Castlegrounds,2
Albatross,dr,Bowser's Termination Station,10
Albatross,dr,Bluster Blob Bluff,8
Albatross,dr,Frantic Funyard,2
Albatross,dr,Big Express City,10
Albatross,dr,DS Rainbow Road,12
